"IndicatorCode","Indicator","ValueType","ParentLocationCode","ParentLocation","Location.type","SpatialDimValueCode","Location","Period.type","Period","IsLatestYear","Dim1.type","Dim1","Dim1ValueCode","Dim2.type","Dim2","Dim2ValueCode","Dim3.type","Dim3","Dim3ValueCode","DataSourceDimValueCode","DataSource","FactValueNumericPrefix","FactValueNumeric","FactValueUoM","FactValueNumericLowPrefix","FactValueNumericLow","FactValueNumericHighPrefix","FactValueNumericHigh","Value","FactValueTranslationID","FactComments","Language","DateModified","Region Name","M49 Code","Sub-region Name"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","EUR","Europe","Country","POL","Poland","Year",2021,"true","Sex","Both sexes","SEX_BTSX",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.76,NA,NA,19.75,NA,19.81,"19.8 [19.7-19.8]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Europe",616,"Eastern Europe"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","AMR","Americas","Country","SUR","Suriname","Year",2021,"true","Sex","Female","SEX_FMLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.94,NA,NA,19.15,NA,20.99,"19.9 [19.1-21.0]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Americas",740,"Latin America and the Caribbean"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","AMR","Americas","Country","SLV","El Salvador","Year",2021,"true","Sex","Both sexes","SEX_BTSX",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.94,NA,NA,19.49,NA,20.5,"19.9 [19.5-20.5]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Americas",222,"Latin America and the Caribbean"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","AFR","Africa","Country","MUS","Mauritius","Year",2021,"true","Sex","Both sexes","SEX_BTSX",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.87,NA,NA,19.58,NA,20.24,"19.9 [19.6-20.2]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Africa",480,"Sub-Saharan Africa"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","AMR","Americas","Country","VCT","Saint Vincent and the Grenadines","Year",2021,"true","Sex","Both sexes","SEX_BTSX",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.93,NA,NA,19.58,NA,20.29,"19.9 [19.6-20.3]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Americas",670,"Latin America and the Caribbean"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","EUR","Europe","Country","ALB","Albania","Year",2021,"true","Sex","Both sexes","SEX_BTSX",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.94,NA,NA,19.6,NA,20.4,"19.9 [19.6-20.4]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Europe",8,"Southern Europe"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","EMR","Eastern Mediterranean","Country","IRN","Iran (Islamic Republic of)","Year",2021,"true","Sex","Both sexes","SEX_BTSX",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.86,NA,NA,19.78,NA,19.97,"19.9 [19.8-20.0]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Asia",364,"Southern Asia"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","AMR","Americas","Country","ECU","Ecuador","Year",2021,"true","Sex","Both sexes","SEX_BTSX",NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,19.49,NA,20.55,"20.0 [19.5-20.5]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Americas",218,"Latin America and the Caribbean"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","EMR","Eastern Mediterranean","Country","QAT","Qatar","Year",2021,"true","Sex","Female","SEX_FMLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.96,NA,NA,19.45,NA,20.58,"20.0 [19.5-20.6]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Asia",634,"Western Asia"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","EMR","Eastern Mediterranean","Country","JOR","Jordan","Year",2021,"true","Sex","Both sexes","SEX_BTSX",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.96,NA,NA,19.55,NA,20.4,"20.0 [19.6-20.4]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Asia",400,"Western Asia"
"WHOSIS_000015","Life expectancy at age 60 (years)","text","AMR","Americas","Country","BHS","Bahamas","Year",2021,"true","Sex","Female","SEX_FMLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.01,NA,NA,19.58,NA,20.49,"20.0 [19.6-20.5]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Americas",44,"Latin America and the Caribbean"
